ductility_bin,n_records,mean_err_u,median_err_u,mean_err_fr,mean_err_eh
Elastic (mu <= 1),242,10.774277586274403,8.73415656387806,6.7503745128854735,403.86036831485336
Low Inelastic (1-2),216,45.24060429798232,42.436960339546204,12.790210001791516,59.69159740402743
Moderate (2-4),252,60.99469312244937,58.714282512664795,22.14939727610539,14.577917783476767
High (4-8),307,61.93069134162381,60.192638635635376,29.64482396258593,12.613638341790884
Severe (mu > 8),512,55.5002095294185,52.62109339237213,37.340791363385506,12.686157659845776
