pga_bin,n_records,mean_err_u,median_err_u,mean_err_fr,mean_err_eh
<= 0.1g,308,20.033411329684707,11.122893914580345,8.160960093116412,280.50869533719566
0.1g - 0.3g,308,51.090624751886,53.349652886390686,19.153015109916012,80.40346249381636
0.3g - 0.6g,462,61.67253928331585,60.050785541534424,27.84651456263674,16.747959333500177
0.6g - 0.9g,154,57.78598106139666,57.37830102443695,34.4064509520283,12.980854269359018
> 0.9g,308,53.016200884209056,51.041075587272644,39.26360058513554,12.822448854129037
