epoch,lr,train_loss,train_loss_u,train_loss_f,train_loss_e,val_loss,val_rel_l2_u,val_rel_l2_f,val_rel_l2_e,epoch_time_s,cumulative_time_s
1,0.0029939815695228826,3.687090990278456,0.8455946895811293,2.2641311870680916,0.5773651229010688,2.7523141503334045,356.21637951334316,6891692.749996915,66278822.41021461,31.394625186920166,31.394638061523438
2,0.0029759747349549512,2.5451229731241862,0.7831221209632026,1.2857932845751445,0.47620754771762425,2.509269952774048,692.6360401858886,5745544.583270207,14204483.352249846,31.826985836029053,63.64339303970337
3,0.0029461244767403005,2.2889997164408364,0.7421897305382623,1.199938906563653,0.34687108198801675,2.6314188838005066,1079.4476749996345,9200589.87370955,28526204.540687248,31.77020502090454,95.58979892730713
4,0.0029046711316064074,2.1125133170021906,0.7001112831963433,1.1428529858589171,0.26954905059602524,2.4573663075764975,3299.533504386743,8856410.285151616,8911265.989522079,31.398908138275146,126.99010515213013
5,0.002851948457514117,2.302994532055325,0.673947827021281,1.2717214279704623,0.35732523997624716,2.937073767185211,5820.618800267577,8438759.999599585,94475468.74262197,29.771980047225952,156.96331691741943
6,0.00278838094643479,3.2367579725053575,0.9517769813537598,1.762873285346561,0.5221077276600732,3.568577527999878,1296.5974900325139,17890956.74982729,35381632.07894274,29.955729961395264,186.92004108428955
7,0.0027144804065905464,2.5440329366260106,0.7029645747608608,1.3663928230603537,0.4746755441029867,3.3052716056505838,657.9790998051564,17826166.078201983,3242409.8348381766,29.768005847930908,216.68810296058655
8,0.0026308418416753987,2.173077689276801,0.5870880921681721,1.2133036984337702,0.37268590264850193,2.14472296833992,949.2511160125335,6298487.8968186425,3144479.9474925897,29.777209997177124,246.46536803245544
9,0.002538138660235363,1.7769999848471747,0.4590585788091024,0.997453773021698,0.3204876336786482,3.5165042082468667,1774.9200322578351,12617813.969423464,7016143.247252047,37.79369807243347,284.41284704208374
10,0.002437117253778807,2.3159199661678738,0.7412075493070814,1.027306169933743,0.5474062436156802,2.1738231976826987,3132.613464126984,3950767.9454833814,7747540.426873182,29.603008031845093,314.015909910202
11,0.0023285909872708937,1.7348137617111206,0.5578514867358737,0.8745396998193529,0.30242257316907245,1.8467245995998383,693.6277803331614,4323752.3669763105,6709157.690740456,29.98331379890442,344.00044894218445
12,0.0022134336503971336,1.657957379023234,0.48361192809210884,0.8549745943811204,0.3193708356883791,1.6348558366298676,1010.3166435236732,2733909.4846640825,6125412.378151923,31.812817335128784,375.96500515937805
13,0.0020925724223226166,1.3799028688006931,0.3914404630661011,0.7410818152957492,0.24738058414724137,1.585662066936493,241.756969285508,3713140.519977411,3290499.8343297937,30.16001605987549,406.275279045105
14,0.001966980406590547,1.2603769050704108,0.36712176303068794,0.6743163274394142,0.21893880963325502,1.3309944619735081,263.4460985114177,1213231.2244175721,4582130.708286688,29.596203088760376,436.0111539363861
15,0.0018376687962646905,1.1632877548535665,0.3611813108126322,0.6114767034848531,0.19062973393334282,1.4546159903208415,253.02265370140472,4037562.887270724,4326772.056974788,29.936975717544556,466.08546900749207
