sim_id,record_id,base_record_id,earthquake_name,magnitude,r_rup_km,vs30_ms,target_pga_g,resulting_pga_g,struct_id,T,zeta,material_type,u_y,alpha,u_max_m,f_max_n,e_h_final_j,ductility,dt,n_steps,sim_file_path
RSN0001_PGA_0p050g__SDOF_T1p50s_Z0p05_BILIN_uy0p030_a0p02,RSN0001_PGA_0p050g,RSN0001,Imperial Valley-06,6.669848365268068,2.65303503121774,227.75891064146455,0.05,0.05,SDOF_T1p50s_Z0p05_BILIN_uy0p030_a0p02,1.5,0.05,bilinear,0.03,0.02,0.03444671676153437,0.5279393399805892,0.002295997986630307,1.1482238920511458,0.01,3337,/Users/rahul/seismoFNO/data/simulations/sdof_responses/RSN0001_PGA_0p050g__SDOF_T1p50s_Z0p05_BILIN_uy0p030_a0p02.npz
RSN0001_PGA_0p050g__SDOF_T2p00s_Z0p05_BILIN_uy0p050_a0p02,RSN0001_PGA_0p050g,RSN0001,Imperial Valley-06,6.669848365268068,2.65303503121774,227.75891064146455,0.05,0.05,SDOF_T2p00s_Z0p05_BILIN_uy0p050_a0p02,2.0,0.05,bilinear,0.05,0.02,0.016959796080493538,0.16738647803761697,6.713140955146863e-07,0.3391959216098707,0.01,3337,/Users/rahul/seismoFNO/data/simulations/sdof_responses/RSN0001_PGA_0p050g__SDOF_T2p00s_Z0p05_BILIN_uy0p050_a0p02.npz
RSN0001_PGA_0p100g__SDOF_T0p20s_Z0p05_ELAS,RSN0001_PGA_0p100g,RSN0001,Imperial Valley-06,6.669848365268068,2.65303503121774,227.75891064146455,0.1,0.1,SDOF_T0p20s_Z0p05_ELAS,0.2,0.05,elastic,,0.0,0.0023138504031869683,2.2836788122756486,6.0981842847996215e-12,1.0,0.01,3337,/Users/rahul/seismoFNO/data/simulations/sdof_responses/RSN0001_PGA_0p100g__SDOF_T0p20s_Z0p05_ELAS.npz
RSN0001_PGA_0p100g__SDOF_T0p50s_Z0p05_ELAS,RSN0001_PGA_0p100g,RSN0001,Imperial Valley-06,6.669848365268068,2.65303503121774,227.75891064146455,0.1,0.1,SDOF_T0p50s_Z0p05_ELAS,0.5,0.05,elastic,,0.0,0.009962407981822793,1.5732004106055357,1.9706358109149737e-09,1.0,0.01,3337,/Users/rahul/seismoFNO/data/simulations/sdof_responses/RSN0001_PGA_0p100g__SDOF_T0p50s_Z0p05_ELAS.npz
RSN0001_PGA_0p100g__SDOF_T1p00s_Z0p05_ELAS,RSN0001_PGA_0p100g,RSN0001,Imperial Valley-06,6.669848365268068,2.65303503121774,227.75891064146455,0.1,0.1,SDOF_T1p00s_Z0p05_ELAS,1.0,0.05,elastic,,0.0,0.03840949385420565,1.5163460383483307,9.93189495914453e-07,1.0,0.01,3337,/Users/rahul/seismoFNO/data/simulations/sdof_responses/RSN0001_PGA_0p100g__SDOF_T1p00s_Z0p05_ELAS.npz
RSN0001_PGA_0p100g__SDOF_T1p50s_Z0p05_ELAS,RSN0001_PGA_0p100g,RSN0001,Imperial Valley-06,6.669848365268068,2.65303503121774,227.75891064146455,0.1,0.1,SDOF_T1p50s_Z0p05_ELAS,1.5,0.05,elastic,,0.0,0.06848134317618523,1.2015711395630015,6.503613951787885e-07,1.0,0.01,3337,/Users/rahul/seismoFNO/data/simulations/sdof_responses/RSN0001_PGA_0p100g__SDOF_T1p50s_Z0p05_ELAS.npz
RSN0001_PGA_0p100g__SDOF_T2p00s_Z0p05_ELAS,RSN0001_PGA_0p100g,RSN0001,Imperial Valley-06,6.669848365268068,2.65303503121774,227.75891064146455,0.1,0.1,SDOF_T2p00s_Z0p05_ELAS,2.0,0.05,elastic,,0.0,0.03391959216098682,0.3347729560752316,2.685256382051923e-06,1.0,0.01,3337,/Users/rahul/seismoFNO/data/simulations/sdof_responses/RSN0001_PGA_0p100g__SDOF_T2p00s_Z0p05_ELAS.npz
RSN0001_PGA_0p100g__SDOF_T0p20s_Z0p05_BILIN_uy0p005_a0p02,RSN0001_PGA_0p100g,RSN0001,Imperial Valley-06,6.669848365268068,2.65303503121774,227.75891064146455,0.1,0.1,SDOF_T0p20s_Z0p05_BILIN_uy0p005_a0p02,0.2,0.05,bilinear,0.005,0.02,0.0023138504031869705,2.283678812275651,6.098186701736283e-12,0.4627700806373941,0.01,3337,/Users/rahul/seismoFNO/data/simulations/sdof_responses/RSN0001_PGA_0p100g__SDOF_T0p20s_Z0p05_BILIN_uy0p005_a0p02.npz
RSN0001_PGA_0p100g__SDOF_T0p50s_Z0p05_BILIN_uy0p010_a0p02,RSN0001_PGA_0p100g,RSN0001,Imperial Valley-06,6.669848365268068,2.65303503121774,227.75891064146455,0.1,0.1,SDOF_T0p50s_Z0p05_BILIN_uy0p010_a0p02,0.5,0.05,bilinear,0.01,0.02,0.009962407981822801,1.5732004106055364,1.97063581904091e-09,0.9962407981822802,0.01,3337,/Users/rahul/seismoFNO/data/simulations/sdof_responses/RSN0001_PGA_0p100g__SDOF_T0p50s_Z0p05_BILIN_uy0p010_a0p02.npz
RSN0001_PGA_0p100g__SDOF_T0p50s_Z0p05_BILIN_uy0p020_a0p05,RSN0001_PGA_0p100g,RSN0001,Imperial Valley-06,6.669848365268068,2.65303503121774,227.75891064146455,0.1,0.1,SDOF_T0p50s_Z0p05_BILIN_uy0p020_a0p05,0.5,0.05,bilinear,0.02,0.05,0.009962407981822801,1.5732004106055364,1.97063581904091e-09,0.4981203990911401,0.01,3337,/Users/rahul/seismoFNO/data/simulations/sdof_responses/RSN0001_PGA_0p100g__SDOF_T0p50s_Z0p05_BILIN_uy0p020_a0p05.npz
RSN0001_PGA_0p100g__SDOF_T1p00s_Z0p05_BILIN_uy0p020_a0p02,RSN0001_PGA_0p100g,RSN0001,Imperial Valley-06,6.669848365268068,2.65303503121774,227.75891064146455,0.1,0.1,SDOF_T1p00s_Z0p05_BILIN_uy0p020_a0p02,1.0,0.05,bilinear,0.02,0.02,0.029412772572426273,0.7970003794157304,0.019487126807901375,1.4706386286213136,0.01,3337,/Users/rahul/seismoFNO/data/simulations/sdof_responses/RSN0001_PGA_0p100g__SDOF_T1p00s_Z0p05_BILIN_uy0p020_a0p02.npz
RSN0001_PGA_0p100g__SDOF_T1p00s_Z0p05_BILIN_uy0p040_a0p05,RSN0001_PGA_0p100g,RSN0001,Imperial Valley-06,6.669848365268068,2.65303503121774,227.75891064146455,0.1,0.1,SDOF_T1p00s_Z0p05_BILIN_uy0p040_a0p05,1.0,0.05,bilinear,0.04,0.05,0.03840949385420549,1.5163460383483245,9.931894959154433e-07,0.9602373463551371,0.01,3337,/Users/rahul/seismoFNO/data/simulations/sdof_responses/RSN0001_PGA_0p100g__SDOF_T1p00s_Z0p05_BILIN_uy0p040_a0p05.npz
RSN0001_PGA_0p100g__SDOF_T1p50s_Z0p05_BILIN_uy0p030_a0p02,RSN0001_PGA_0p100g,RSN0001,Imperial Valley-06,6.669848365268068,2.65303503121774,227.75891064146455,0.1,0.1,SDOF_T1p50s_Z0p05_BILIN_uy0p030_a0p02,1.5,0.05,bilinear,0.03,0.02,0.05274676311822279,0.5343611788450198,0.028199287224231463,1.758225437274093,0.01,3337,/Users/rahul/seismoFNO/data/simulations/sdof_responses/RSN0001_PGA_0p100g__SDOF_T1p50s_Z0p05_BILIN_uy0p030_a0p02.npz
RSN0001_PGA_0p100g__SDOF_T2p00s_Z0p05_BILIN_uy0p050_a0p02,RSN0001_PGA_0p100g,RSN0001,Imperial Valley-06,6.669848365268068,2.65303503121774,227.75891064146455,0.1,0.1,SDOF_T2p00s_Z0p05_BILIN_uy0p050_a0p02,2.0,0.05,bilinear,0.05,0.02,0.033919592160987076,0.33477295607523394,2.685256382058745e-06,0.6783918432197414,0.01,3337,/Users/rahul/seismoFNO/data/simulations/sdof_responses/RSN0001_PGA_0p100g__SDOF_T2p00s_Z0p05_BILIN_uy0p050_a0p02.npz
RSN0001_PGA_0p200g__SDOF_T0p20s_Z0p05_ELAS,RSN0001_PGA_0p200g,RSN0001,Imperial Valley-06,6.669848365268068,2.65303503121774,227.75891064146455,0.2,0.2,SDOF_T0p20s_Z0p05_ELAS,0.2,0.05,elastic,,0.0,0.004627700806373937,4.567357624551297,2.4392737139198486e-11,1.0,0.01,3337,/Users/rahul/seismoFNO/data/simulations/sdof_responses/RSN0001_PGA_0p200g__SDOF_T0p20s_Z0p05_ELAS.npz
RSN0001_PGA_0p200g__SDOF_T0p50s_Z0p05_ELAS,RSN0001_PGA_0p200g,RSN0001,Imperial Valley-06,6.669848365268068,2.65303503121774,227.75891064146455,0.2,0.2,SDOF_T0p50s_Z0p05_ELAS,0.5,0.05,elastic,,0.0,0.019924815963645585,3.1464008212110715,7.882543243659895e-09,1.0,0.01,3337,/Users/rahul/seismoFNO/data/simulations/sdof_responses/RSN0001_PGA_0p200g__SDOF_T0p50s_Z0p05_ELAS.npz
RSN0001_PGA_0p200g__SDOF_T1p00s_Z0p05_ELAS,RSN0001_PGA_0p200g,RSN0001,Imperial Valley-06,6.669848365268068,2.65303503121774,227.75891064146455,0.2,0.2,SDOF_T1p00s_Z0p05_ELAS,1.0,0.05,elastic,,0.0,0.0768189877084113,3.0326920766966614,3.972757983657812e-06,1.0,0.01,3337,/Users/rahul/seismoFNO/data/simulations/sdof_responses/RSN0001_PGA_0p200g__SDOF_T1p00s_Z0p05_ELAS.npz
RSN0001_PGA_0p200g__SDOF_T1p50s_Z0p05_ELAS,RSN0001_PGA_0p200g,RSN0001,Imperial Valley-06,6.669848365268068,2.65303503121774,227.75891064146455,0.2,0.2,SDOF_T1p50s_Z0p05_ELAS,1.5,0.05,elastic,,0.0,0.13696268635237047,2.403142279126003,2.601445580715154e-06,1.0,0.01,3337,/Users/rahul/seismoFNO/data/simulations/sdof_responses/RSN0001_PGA_0p200g__SDOF_T1p50s_Z0p05_ELAS.npz
RSN0001_PGA_0p200g__SDOF_T2p00s_Z0p05_ELAS,RSN0001_PGA_0p200g,RSN0001,Imperial Valley-06,6.669848365268068,2.65303503121774,227.75891064146455,0.2,0.2,SDOF_T2p00s_Z0p05_ELAS,2.0,0.05,elastic,,0.0,0.06783918432197364,0.6695459121504632,1.0741025528207692e-05,1.0,0.01,3337,/Users/rahul/seismoFNO/data/simulations/sdof_responses/RSN0001_PGA_0p200g__SDOF_T2p00s_Z0p05_ELAS.npz
