epoch,lr,train_loss,val_loss,val_rel_l2_u,epoch_time_s,cumulative_time_s
1,0.0029712739942028294,0.6887886751581122,0.5942317294447046,70.55262970296961,54.16135597229004,54.16135787963867
2,0.0028861999011043737,0.4203376675093615,0.38858062421020706,36.97494880149239,51.34370994567871,105.89681792259216
3,0.0027480470703923053,0.28658610240176874,0.3285942587413286,29.905646019860317,51.620824098587036,157.8305070400238
4,0.0025621246378738885,0.24178053317246614,0.34116477636914505,30.147696168799147,50.503763914108276,208.74242997169495
5,0.0023355774983643053,0.21248573219334638,0.29812979541326823,25.73910022252484,50.83775782585144,259.7808060646057
6,0.0020771117313858095,0.18826057458365406,0.29524462709301397,22.76998628911219,51.62020182609558,311.6595530509949
7,0.0017966600314141123,0.15397499672792575,0.28224381569184753,20.984529899923423,51.171217918395996,363.22354006767273
8,0.0015050000000000003,0.14588388292877763,0.28075914673115077,21.650825715378712,51.81815981864929,415.3283770084381
9,0.0012133399685858885,0.12310056548427653,0.2875535378330632,20.873572991082543,53.87330365180969,469.4667868614197
10,0.000932888268614191,0.10685316716079359,0.2777262090852386,20.510056340380718,61.790178060531616,531.7106750011444
11,0.0006744225016356952,0.09626759516972083,0.2829633874720649,22.26071000883454,63.770283699035645,595.8493900299072
12,0.00044787536212611157,0.08444374209200894,0.28704248251099335,20.27891431199877,58.85637402534485,654.9495370388031
13,0.0002619529296076947,0.07328579053282738,0.272899366915226,20.18121192721944,55.43189191818237,710.5134570598602
14,0.00012380009889562633,0.06767748572208264,0.27485401555895805,21.000141179875325,61.936919927597046,772.6967241764069
15,3.872600579717051e-05,0.06476765208774143,0.2745621006347631,20.494439099964342,74.83188819885254,847.6956062316895
16,1e-05,0.06314311096513713,0.2747851072957641,20.413706490868016,66.2691547870636,914.1579029560089
