epoch,lr,train_loss,val_loss,val_rel_l2_u,epoch_time_s,cumulative_time_s
1,0.0029712739942028294,0.7032068309960542,0.46386377748690155,57.29044385646519,65.8500669002533,65.85006904602051
2,0.0028861999011043737,0.35148855293238607,0.32924242631385203,27.01826534773174,85.44412994384766,151.58302998542786
3,0.0027480470703923053,0.2698889423299719,0.3175017916058239,25.4466119173326,100.98230290412903,253.63239979743958
4,0.0025621246378738885,0.22320797940095266,0.2874801680445671,21.305107717451296,119.49743103981018,373.4501807689667
5,0.0023355774983643053,0.1880751285288069,0.32503747900849894,27.30907731150326,150.95795798301697,524.7873589992523
6,0.0020771117313858095,0.18049944175614252,0.28845275546375077,21.571116012177967,127.63801503181458,652.8989698886871
7,0.0017966600314141123,0.15060791389809713,0.2918218472286275,24.93121263227965,134.7549057006836,787.9892089366913
8,0.0015050000000000003,0.1353315536622648,0.2668814349331354,19.632745102832192,138.35348296165466,926.7212407588959
9,0.0012133399685858885,0.13092680352705496,0.2868636595575433,23.361584191259585,122.8083598613739,1050.5378158092499
10,0.000932888268614191,0.10823983329313773,0.2619886390472713,19.47746902312103,134.26841759681702,1185.2715768814087
11,0.0006744225016356952,0.10078871917945367,0.27789514394182907,20.52716328517387,142.7857539653778,1328.5244281291962
12,0.00044787536212611157,0.08139969207070492,0.2759005360697445,20.923635618467078,116.69196605682373,1445.5187048912048
13,0.0002619529296076947,0.072011764375148,0.2759327445375292,19.960454204364826,131.2065839767456,1577.2764370441437
14,0.00012380009889562633,0.06678899932238791,0.28106071035328667,21.14030081582697,131.57067322731018,1709.184427022934
