Regime,Model,N,Rel_L2_u_Mean,Rel_L2_u_Median,Rel_L2_u_Std,Rel_L2_u_95CI_Low,Rel_L2_u_95CI_High,Peak_u_Err_Mean,Force_Rel_L2_Mean,Energy_Rel_L2_Mean,Residual_Drift_mm_Mean,Loop_Area_Err_Mean,Latency_ms,Parameters
mu_le_1,Standard FNO,242,1201.2439683462176,531.5646306882204,1662.854214257591,1096.5179948981079,1366.0773924984028,268.0854534013477,19.50400252431531,32.79421462708699,11.427316095964782,3284.0528100623724,7.278739362271909,1196931
mu_le_1,Causal TCN (State-Free),242,1233.1974592154154,652.7677971396365,1547.2683212783998,1125.2610084939301,1398.37371029956,3210.973437104474,66.5274349753849,146.8494595700853,14.616170824959505,77506.00266420613,37.22087378962708,1188763
mu_le_1,State-Augmented TCN,242,344.3034584221874,149.26392709728754,445.60563820257335,316.61185268065725,388.4523744703777,2297.041658400244,29.9272682918327,53.84475950461232,1.8643261316378623,75085.86405379482,44.87929704739688,1182451
mu_le_1,Continuous S4 SSM,242,802.0123090447869,425.9048965771742,920.9549054575546,743.9301579774635,903.3519625594065,2362.429446726521,115.86620978237342,190.14791200147354,7.708278299436312,50696.257096690475,40.80841233177574,1192079
mu_le_1,Memory-Truncated S4,242,6473.187936727579,3260.193238014993,8438.366232837365,5905.320043929,7360.787032050458,2097.2706337548934,260.4400678268394,2076.0948137619534,43.33164791522686,24519.959591288785,40.67679576888244,1192079
mu_1_to_2,Standard FNO,216,261.140814617284,152.9709862190246,259.814764823241,250.87249230489883,271.2161723446082,54.149346338770954,22.27381253682054,23.391390770355954,14.05646243721195,182.18329201747542,7.278739362271909,1196931
mu_1_to_2,Causal TCN (State-Free),216,303.6534302491069,224.71824593816885,255.6239872743486,292.61079264296956,312.49003708740736,686.4105409623605,47.37674778098238,83.6483761536416,18.302288524056266,1675.1564264603346,37.22087378962708,1188763
mu_1_to_2,State-Augmented TCN,216,113.93951288530151,79.03280560638703,91.44515407597396,110.52943108163596,120.24816476726636,469.6556326996494,24.000766073793073,43.275376219008905,7.34672069369548,1734.626696657397,44.87929704739688,1182451
mu_1_to_2,Continuous S4 SSM,216,226.8682701063408,148.38695704193563,172.5932495753474,222.3019893298265,235.1426417545331,490.8406121081199,101.32124690636071,166.06458608452652,12.321976649993168,1035.7421821951896,40.80841233177574,1192079
mu_1_to_2,Memory-Truncated S4,216,1315.8950576787495,798.9162651321819,1221.4793428823946,1259.4120226507387,1380.2427874268517,424.70320833475586,158.12331246595306,975.1619575651259,44.617481710803176,583.9403292921676,40.67679576888244,1192079
mu_2_to_4,Standard FNO,252,124.24059641154848,94.24885585407249,95.03255797712472,116.1700676944588,137.74648779851205,26.70794142248819,29.255646902849076,15.133139767875557,23.499948608260308,15.018111758223482,7.278739362271909,1196931
mu_2_to_4,Causal TCN (State-Free),252,163.3300239224212,132.8586174834091,105.1526334003246,153.5056647660496,174.8607457096193,280.7347520909449,44.98977264474346,46.631092538971586,29.08993324464453,149.92393454804846,37.22087378962708,1188763
mu_2_to_4,State-Augmented TCN,252,90.97327743542105,84.22871959868021,38.99259930008294,84.75359127311737,94.35424908108018,183.82983278487333,25.5168377131892,32.31153035938205,19.351758881904452,155.37865896710008,44.87929704739688,1182451
mu_2_to_4,Continuous S4 SSM,252,132.8888869773793,110.2841038840085,69.69515602150189,123.65896836227188,141.03455693788965,193.01387717904677,94.51256297533895,72.27310973801922,22.68103687074183,127.58006501302798,40.80841233177574,1192079
