epoch,lr,train_loss,val_loss,val_rel_l2_u,epoch_time_s,cumulative_time_s
1,0.0029939815695228826,0.5786410554691598,0.3809821229231985,37.36741201657998,57.509631872177124,57.50964379310608
2,0.0029759747349549512,0.28722795159728437,0.3237156413103405,31.355814243617814,44.913058042526245,102.51497197151184
3,0.0029461244767403005,0.2480315766952656,0.30269112555604233,29.97288088265218,45.125412702560425,147.73472499847412
4,0.0029046711316064074,0.2025169548061159,0.2702943541501698,22.47469797730446,44.92762088775635,192.7551929950714
5,0.002851948457514117,0.18207651365686345,0.30618368520548467,27.10957327171376,44.993515968322754,237.8502869606018
6,0.00278838094643479,0.16388873237150686,0.25200087851599645,19.936544585384823,44.98281002044678,282.8331639766693
7,0.0027144804065905464,0.17331472960887132,0.2595948031858394,20.500781975294412,44.97679424285889,327.9068970680237
8,0.0026308418416753987,0.15484148076287022,0.24852904148007693,18.29394874604125,44.83750891685486,372.7444398403168
9,0.002538138660235363,0.13850450024560645,0.25658839666529704,24.227121864494524,44.9106559753418,417.7535231113434
10,0.002437117253778807,0.1375688800657237,0.29342382911004516,24.53194276282662,44.950255155563354,462.7038609981537
11,0.0023285909872708937,0.12582385219909525,0.2842154346014324,26.03197599712171,44.94219708442688,507.6460928916931
12,0.0022134336503971336,0.1164228853252199,0.25076757292998464,19.114237866903604,44.92894887924194,552.5750968456268
13,0.0020925724223226166,0.11711591724996213,0.2582215072685166,19.103658003242394,44.96786689758301,597.5430009365082
14,0.001966980406590547,0.11380697632277453,0.25552379732069214,21.404049898448744,45.10920190811157,642.6522400379181
15,0.0018376687962646905,0.10965684839972743,0.26087849783269984,20.53405673880326,45.03259992599487,687.6849060058594
16,0.0017056787323973955,0.10032430798919112,0.24852559597868668,18.200806724397758,45.027531147003174,732.7124769687653
17,0.0015720729213740204,0.08833796034256618,0.25098518164534317,19.406304802549514,45.019187211990356,777.8312120437622
18,0.0014379270786259806,0.08603792099489106,0.27086110413074493,22.25131490512898,45.03354072570801,822.864816904068
19,0.0013043212676026054,0.08205831944942474,0.2526486374829945,19.73603297221033,45.00827693939209,867.8731300830841
20,0.0011723312037353103,0.07866800361209446,0.2546975857725269,20.624359755923873,45.020302057266235,912.8934931755066
21,0.0010430195934094538,0.07268902284127694,0.2543477294476409,20.9358123964385,45.03478002548218,957.928307056427
22,0.0009174275776773847,0.06696922599717423,0.25396530153720004,20.293884979266867,45.03316521644592,1002.9615099430084
23,0.0007965663496028671,0.06438579170240297,0.2561602751283269,19.835110832201806,46.41101908683777,1049.372582912445
24,0.000681409012729107,0.06045587115265705,0.2532967017277291,19.473865236106672,46.43939995765686,1095.8120579719543
25,0.0005728827462211935,0.05624913816098814,0.24900122731924057,19.69227316348176,46.882516860961914,1142.6946120262146
26,0.0004718613397646374,0.051348498656793876,0.24998124708470545,19.124827043790564,47.039928674697876,1189.7345750331879
