epoch,lr,train_loss,val_loss,val_rel_l2_u,epoch_time_s,cumulative_time_s
1,0.002981594069189731,0.5951167148572427,0.4265720248222351,45.41192046905819,30.78261971473694,30.782626152038574
2,0.0029268294918612546,0.289100561870469,0.3233465909173614,28.789895694506797,31.019892930984497,61.87555694580078
3,0.0028370547536616096,0.2347222383375521,0.35115268904911845,41.05055543937181,31.31228017807007,93.25202012062073
4,0.0027144804065905464,0.2005051542211462,0.2980378105452186,24.45396847630802,31.442363023757935,124.69442796707153
5,0.0025621246378738885,0.17236375687298952,0.30007443302556086,27.753465387382004,31.579836130142212,156.33493614196777
6,0.0023837389521772475,0.1693091289864646,0.2680962066117086,20.36367913610057,31.710466623306274,188.04542589187622
7,0.0021837157971106224,0.15569644112277914,0.28872329192726237,21.819623206791125,31.81555676460266,219.92458081245422
8,0.0019669804065905465,0.14557016243537266,0.2503067449127373,19.48244559921716,31.952038049697876,251.87664103507996
9,0.0017388695252351454,0.12601647205926753,0.2802250028440827,21.303875489454523,32.13776993751526,284.0812909603119
10,0.001505,0.11225908829106225,0.26765665313915205,22.59650320598954,32.19485330581665,316.2761721611023
11,0.0012711304747648553,0.10180907608182342,0.28113580142196853,22.009459118309774,32.18369102478027,348.45988512039185
12,0.0010430195934094538,0.09811580136970237,0.25675354819548757,20.567985486827396,32.32994985580444,380.78985810279846
13,0.0008262842028893777,0.08657661596382106,0.26789350552778496,19.743886158654565,32.028298139572144,412.8181791305542
14,0.0006262610478227528,0.07377848799029986,0.27441367722655596,22.07924960867355,31.244055032730103,444.0622580051422
