Evaluation Partition,Sample Count,Median Rel L2 u (%),Mean Rel L2 u (%),Median Peak Disp Err (%),3-Story Rel L2 (%),5-Story Rel L2 (%)
ID (Known Structures & Earthquakes),120,11.44484169781208,13.077591583132744,8.200409647336446,11.275148391723633,11.856663972139359
OOD-A (Unseen Earthquakes),300,17.335516214370728,19.72848939647277,6.110948051897893,22.086159139871597,15.174233168363571
OOD-B (Unseen Structure 5S_T120),240,125.39215683937073,126.32795070608456,15.110136193531991,N/A,125.39215683937073
OOD-C (Combined OOD: Unseen Struct + EQ),60,119.67800259590149,119.43585177262624,24.227748449719584,N/A,119.67800259590149
