sim_id,struct_id,n_stories,partition,rel_l2_u_pct,peak_disp_err_pct,idr_err_pct,story_shear_err_pct
1815,5S_T120,5,ood_c,118.44978332519531,23.93279494432351,119.37767267227173,140.6226396560669
1816,5S_T120,5,ood_c,117.85926818847656,25.779682869482496,118.82315874099731,138.64580392837524
1817,5S_T120,5,ood_c,117.38587617874146,25.04014227130902,118.42635869979858,138.01367282867432
1833,5S_T120,5,ood_c,117.44166612625122,25.687510856878404,118.09399127960205,137.97411918640137
1834,5S_T120,5,ood_c,116.9379472732544,27.366059278866995,117.62555837631226,136.19776964187622
1835,5S_T120,5,ood_c,116.51203632354736,26.43067943000036,117.25090742111206,135.65466403961182
1851,5S_T120,5,ood_c,116.54025316238403,23.442484068974537,117.25379228591919,135.45613288879395
1852,5S_T120,5,ood_c,116.1408543586731,25.08650868567517,116.85677766799927,133.89712572097778
1853,5S_T120,5,ood_c,115.7178521156311,24.169588193195278,116.49868488311768,133.37156772613525
1869,5S_T120,5,ood_c,116.32672548294067,23.56556612625368,116.98166131973267,134.79883670806885
1870,5S_T120,5,ood_c,116.02188348770142,24.913445603196063,116.68246984481812,133.3880066871643
1871,5S_T120,5,ood_c,115.57183265686035,24.19192565331942,116.27719402313232,132.91590213775635
1887,5S_T120,5,ood_c,116.16824865341187,23.69087645892112,116.80452823638916,134.28382873535156
1888,5S_T120,5,ood_c,115.94476699829102,24.907054788530576,116.58806800842285,133.00224542617798
1889,5S_T120,5,ood_c,115.4967188835144,24.26357124611975,116.16019010543823,132.67663717269897
1905,5S_T120,5,ood_c,115.95073938369751,25.431069313169065,116.6985273361206,133.64564180374146
1906,5S_T120,5,ood_c,115.76950550079346,26.41091581005452,116.53609275817871,132.4487328529358
1907,5S_T120,5,ood_c,115.36792516708374,25.89878039975206,116.1252498626709,132.30252265930176
1923,5S_T120,5,ood_c,115.60430526733398,28.436213611283407,116.49713516235352,133.00588130950928
1924,5S_T120,5,ood_c,115.42233228683472,29.353682692860904,116.3585901260376,131.8362832069397
1925,5S_T120,5,ood_c,115.10851383209229,28.8575610118472,116.006600856781,131.87257051467896
1941,5S_T120,5,ood_c,114.5344614982605,35.087984499721806,115.61874151229858,131.5487265586853
1942,5S_T120,5,ood_c,114.07102346420288,35.97732809864559,112.94112205505371,134.50334072113037
1943,5S_T120,5,ood_c,114.2113208770752,35.41125528726427,115.30894041061401,130.81896305084229
1959,5S_T120,5,ood_c,112.8785252571106,41.27956240383575,114.05013799667358,128.43310832977295
1960,5S_T120,5,ood_c,113.40761184692383,34.67971979399725,111.50650978088379,136.64753437042236
