sim_id,struct_id,n_stories,partition,rel_l2_u_pct,peak_disp_err_pct,idr_err_pct,story_shear_err_pct
1800,3S_T035,3,ood_a,41.362959146499634,6.507045076169791,43.08037459850311,28.294917941093445
1801,3S_T035,3,ood_a,41.06644093990326,5.799337819960612,42.80112087726593,28.285521268844604
1802,3S_T035,3,ood_a,41.04819893836975,6.969242656076678,42.80978441238403,28.191834688186646
1803,3S_T060,3,ood_a,23.029927909374237,4.7803091077942685,26.595035195350647,22.868436574935913
1804,3S_T060,3,ood_a,22.100818157196045,4.335164024254385,25.737860798835754,21.94046527147293
1805,3S_T060,3,ood_a,22.659362852573395,4.884915727242333,26.332560181617737,22.574380040168762
1806,3S_T090,3,ood_a,10.024596005678177,1.52581040202747,12.197593599557877,11.36799305677414
1807,3S_T090,3,ood_a,9.679199755191803,2.9101120192644903,11.75214871764183,11.176662892103195
1808,3S_T090,3,ood_a,9.759605675935745,0.8699475143547549,12.567408382892609,11.051294207572937
1809,5S_T055,5,ood_a,21.295033395290375,4.681883352103097,26.700359582901,18.166165053844452
1810,5S_T055,5,ood_a,21.696986258029938,4.765738040912746,27.32282280921936,18.385745584964752
1811,5S_T055,5,ood_a,21.1652934551239,3.8117662640765424,26.83117985725403,18.259620666503906
1812,5S_T085,5,ood_a,13.402177393436432,3.95459304932497,19.672925770282745,13.53042870759964
1813,5S_T085,5,ood_a,13.145433366298676,3.657067770826784,19.121459126472473,12.750068306922913
1814,5S_T085,5,ood_a,13.39694857597351,4.470692132901555,19.853219389915466,13.043393194675446
1818,3S_T035,3,ood_a,26.56230926513672,3.9028729581523764,28.230664134025574,22.019246220588684
1819,3S_T035,3,ood_a,26.475465297698975,3.2939677943678345,28.17574441432953,21.98856920003891
1820,3S_T035,3,ood_a,26.420298218727112,4.394884104140881,28.18678617477417,21.988558769226074
1821,3S_T060,3,ood_a,14.696581661701202,0.5371380418645049,18.996915221214294,16.664865612983704
1822,3S_T060,3,ood_a,14.043793082237244,0.06520474380149364,18.459483981132507,16.041195392608643
1823,3S_T060,3,ood_a,14.451125264167786,1.230073075459079,18.915173411369324,16.44379049539566
1824,3S_T090,3,ood_a,8.494658768177032,1.9090733322298679,11.016783863306046,9.00883674621582
1825,3S_T090,3,ood_a,8.164732903242111,3.1552125499999155,10.509903728961945,9.139371663331985
1826,3S_T090,3,ood_a,8.321283012628555,1.142138000374349,11.132528632879257,8.740577846765518
1827,5S_T055,5,ood_a,13.861139118671417,8.206938332011893,19.72455233335495,14.156955480575562
1828,5S_T055,5,ood_a,14.13905918598175,8.578215433414993,20.221954584121704,14.403989911079407
1829,5S_T055,5,ood_a,13.500723242759705,7.462746789483375,19.681967794895172,14.127272367477417
1830,5S_T085,5,ood_a,10.991153120994568,3.0822596830003115,16.896717250347137,10.745306313037872
1831,5S_T085,5,ood_a,10.629767924547195,2.6697499152151196,16.116346418857574,10.240744054317474
1832,5S_T085,5,ood_a,10.982724279165268,3.6415437214045667,16.94113314151764,10.45345813035965
1836,3S_T035,3,ood_a,22.87345826625824,6.228967796135251,25.083449482917786,21.790042519569397
1837,3S_T035,3,ood_a,22.889649868011475,5.9950023001094195,25.166845321655273,21.768268942832947
1838,3S_T035,3,ood_a,22.844021022319794,7.0379356270892774,25.2290278673172,21.87308967113495
1839,3S_T060,3,ood_a,12.264540046453476,3.96169962565403,17.5714910030365,15.332451462745667
1840,3S_T060,3,ood_a,11.950574815273285,4.294661545543347,17.28426218032837,15.054050087928772
1841,3S_T060,3,ood_a,12.216919660568237,3.269491783158105,17.673368752002716,15.274712443351746
1842,3S_T090,3,ood_a,9.709302335977554,1.5762924163525636,12.412244081497192,10.93595027923584
1843,3S_T090,3,ood_a,9.602411836385727,0.3981060281039516,12.177711725234985,11.248735338449478
1844,3S_T090,3,ood_a,9.595301747322083,2.271656477572508,12.25813776254654,10.726702213287354
1845,5S_T055,5,ood_a,11.712557822465897,10.56685078526827,19.20982450246811,13.917914032936096
1846,5S_T055,5,ood_a,11.807456612586975,10.764735570695226,19.623251259326935,14.02846872806549
1847,5S_T055,5,ood_a,11.512742191553116,9.709955453129487,19.435934722423553,13.882376253604889
1848,5S_T085,5,ood_a,9.672918915748596,2.717480762410793,15.52620530128479,11.226671934127808
1849,5S_T085,5,ood_a,9.571561962366104,2.3997466431473984,15.057821571826935,11.347639560699463
1850,5S_T085,5,ood_a,9.714172035455704,3.35317573793991,15.638010203838348,11.273565888404846
1854,3S_T035,3,ood_a,23.72955083847046,8.700730930337558,26.17521584033966,23.21891337633133
1855,3S_T035,3,ood_a,23.762260377407074,8.731931085819134,26.25841200351715,23.224814236164093
1856,3S_T035,3,ood_a,23.717528581619263,9.610605581933441,26.328280568122864,23.29045981168747
1857,3S_T060,3,ood_a,13.839569687843323,7.287180230145333,19.234707951545715,16.798174381256104
1858,3S_T060,3,ood_a,13.75674307346344,7.566865293404533,19.063270092010498,16.69326275587082
1859,3S_T060,3,ood_a,13.875766098499298,6.360863942846856,19.39595937728882,16.798411309719086
1860,3S_T090,3,ood_a,10.733911395072937,0.9237998075245403,14.100341498851776,12.395498901605606
1861,3S_T090,3,ood_a,10.750379413366318,0.08313689311494712,14.037558436393738,12.70139068365097
1862,3S_T090,3,ood_a,10.576187074184418,1.6008664880244172,13.65310549736023,12.188636511564255
1863,5S_T055,5,ood_a,12.320557981729507,10.902790049278853,20.184488594532013,15.090523660182953
1864,5S_T055,5,ood_a,12.3392254114151,10.886233131395741,20.485779643058777,15.103910863399506
1865,5S_T055,5,ood_a,12.33718991279602,10.069284532777642,20.53428888320923,15.047302842140198
1866,5S_T085,5,ood_a,10.269469022750854,0.5066062135044194,16.616226732730865,12.804223597049713
1867,5S_T085,5,ood_a,10.369321703910828,0.570010718344901,16.391348838806152,13.109512627124786
1868,5S_T085,5,ood_a,10.264627635478973,0.2319898213265426,16.473865509033203,12.898263335227966
1872,3S_T035,3,ood_a,25.01445710659027,7.090996294416792,27.622070908546448,24.57193434238434
1873,3S_T035,3,ood_a,25.043633580207825,7.300372280360742,27.683520317077637,24.555793404579163
1874,3S_T035,3,ood_a,24.954359233379364,8.075048640421748,27.702701091766357,24.53361749649048
1875,3S_T060,3,ood_a,15.873035788536072,7.126627574602944,21.188761293888092,18.59247386455536
1876,3S_T060,3,ood_a,15.872937440872192,7.437353233062405,21.025601029396057,18.569880723953247
1877,3S_T060,3,ood_a,15.952183306217194,5.956476007242588,21.359479427337646,18.646371364593506
